linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,log_time,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.8938155,1777986736.8935783
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.9939606,1777986736.9936144
0.0,0.0,0.0,0.0,0.0,0.0,1777986739.623819,1777986739.6235628
0.0,0.0,0.0,0.0,0.0,0.0,1777986739.7239654,1777986739.7237098
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.0938616,1777986741.0936697
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.19356,1777986741.19342
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.293854,1777986741.2935536
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.3940375,1777986741.3937182
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.4940403,1777986741.493684
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.5937788,1777986741.5935373
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.6937032,1777986741.693532
0.0,0.0,0.0,0.0,0.0,0.0,1777986741.7939582,1777986741.7936945
0.0,0.0,0.0,0.0,0.0,0.0,1777986753.5138807,1777986753.513567
0.0,0.0,0.0,0.0,0.0,0.0,1777986753.6139522,1777986753.6136694
0.0,0.0,0.0,0.0,0.0,0.0,1777986753.7139935,1777986753.7136247
0.0,0.0,0.0,0.0,0.0,0.0,1777986773.3143191,1777986773.3138993
0.0,0.0,0.0,0.0,0.0,0.0,1777986773.4137926,1777986773.4135323
0.0,0.0,0.0,0.0,0.0,0.0,1777986779.563805,1777986779.5635567
0.0,0.0,0.0,0.0,0.0,0.0,1777986791.8441153,1777986791.8437884
0.0,0.0,0.0,0.0,0.0,0.0,1777986791.9439502,1777986791.943649
0.0,0.0,0.0,0.0,0.0,0.0,1777986792.0440562,1777986792.043743
0.0,0.0,0.0,0.0,0.0,0.0,1777986793.5537112,1777986793.5535188
0.0,0.0,0.0,0.0,0.0,0.0,1777986793.6538944,1777986793.6536367
0.0,0.0,0.0,0.0,0.0,0.0,1777986814.3639238,1777986814.3635836
0.0,0.0,0.0,0.0,0.0,0.0,1777986828.2437706,1777986828.2435791
0.0,0.0,0.0,0.0,0.0,0.0,1777986843.8438606,1777986843.8436291
0.0,0.0,0.0,0.0,0.0,0.0,1777986843.943723,1777986843.9435115
0.0,0.0,0.0,0.0,0.0,0.0,1777986844.0439746,1777986844.043666
0.0,0.0,0.0,0.0,0.0,0.0,1777986844.9435933,1777986844.943446
