desired_linear_vel_x,desired_angular_vel_z,log_time,timestamp
-0.035,0.0,1777986689.0222585,1777986689.0219786
-0.04,0.0,1777986689.0528247,1777986689.0525672
-0.045,0.0,1777986689.0826373,1777986689.082443
-0.049999999999999996,0.0,1777986689.1137109,1777986689.1134007
-0.05499999999999999,0.0,1777986689.143938,1777986689.143694
-0.05999999999999999,0.0,1777986689.1734958,1777986689.1731586
-0.06499999999999999,0.0,1777986689.203387,1777986689.2031744
-0.06999999999999999,0.0,1777986689.2353063,1777986689.2349908
-0.075,0.0,1777986689.2649994,1777986689.2647476
-0.08,0.0,1777986689.295059,1777986689.2947404
-0.085,0.0,1777986689.3249626,1777986689.3247337
-0.09000000000000001,0.0,1777986689.3553991,1777986689.3551357
-0.09500000000000001,0.0,1777986689.386288,1777986689.3860238
-0.10000000000000002,0.0,1777986689.4159167,1777986689.4156141
-0.10500000000000002,0.0,1777986689.4468992,1777986689.4466407
-0.11000000000000003,0.0,1777986689.476895,1777986689.4766052
-0.11500000000000003,0.0,1777986689.5071669,1777986689.506867
-0.12000000000000004,0.0,1777986689.5360684,1777986689.5358107
-0.12500000000000003,0.0,1777986689.5653906,1777986689.5651097
-0.13000000000000003,0.0,1777986689.6659086,1777986689.6656024
-0.13500000000000004,0.0,1777986689.7663336,1777986689.7661014
-0.14000000000000004,0.0,1777986689.8668966,1777986689.8665986
-0.14500000000000005,0.0,1777986689.9674156,1777986689.967155
-0.15000000000000005,0.0,1777986690.0679464,1777986690.067705
-0.15500000000000005,0.0,1777986690.1683533,1777986690.1681511
-0.16000000000000006,0.0,1777986690.2689338,1777986690.2686834
-0.16500000000000006,0.0,1777986690.3694143,1777986690.3691082
-0.17000000000000007,0.0,1777986690.4698024,1777986690.4696128
-0.17500000000000007,0.0,1777986690.570337,1777986690.5700293
-0.18000000000000008,0.0,1777986690.6708012,1777986690.6704886
-0.18500000000000008,0.0,1777986690.771176,1777986690.7709708
-0.19000000000000009,0.0,1777986690.8717244,1777986690.8715003
-0.1950000000000001,0.0,1777986690.9721084,1777986690.9718726
-0.2000000000000001,0.0,1777986691.0727258,1777986691.072388
-0.2050000000000001,0.0,1777986691.173103,1777986691.1728444
-0.2100000000000001,0.0,1777986691.2736185,1777986691.2733252
-0.2150000000000001,0.0,1777986691.3742046,1777986691.3738825
-0.22,0.0,1777986691.4747431,1777986691.4744656
-0.22,0.0,1777986691.5751493,1777986691.5749605
-0.22,0.0,1777986691.6758301,1777986691.675523
-0.22,0.0,1777986691.7763245,1777986691.7760153
-0.22,0.0,1777986691.8769307,1777986691.8766005
-0.22,0.0,1777986691.9773803,1777986691.9770904
-0.22,0.0,1777986692.0778081,1777986692.0775864
-0.22,0.0,1777986692.1782806,1777986692.177996
-0.22,0.0,1777986692.278781,1777986692.2785146
-0.22,0.0,1777986692.379306,1777986692.3790195
-0.22,0.0,1777986692.4797192,1777986692.4794388
0.0,0.0,1777986692.5609045,1777986692.5606647
0.0,0.0,1777986692.661345,1777986692.6610644
0.0,0.0,1777986692.761991,1777986692.7616174
0.0,0.0,1777986692.8624475,1777986692.8622334
0.0,0.0,1777986692.9629354,1777986692.9626713
0.0,0.0,1777986693.0639129,1777986693.06324
0.005,0.0,1777986693.093527,1777986693.0932338
0.01,0.0,1777986693.193976,1777986693.1936827
0.01,0.0,1777986693.294536,1777986693.294191
0.01,0.0,1777986693.3949177,1777986693.3947732
0.01,0.0,1777986693.4955263,1777986693.4952219
0.015,0.0,1777986693.593693,1777986693.5933642
0.02,0.0,1777986693.6231961,1777986693.622956
0.025,0.0,1777986693.6528218,1777986693.6525488
0.030000000000000002,0.0,1777986693.6844795,1777986693.6840692
0.035,0.0,1777986693.7147145,1777986693.7144074
0.04,0.0,1777986693.7445734,1777986693.7442136
0.045,0.0,1777986693.77507,1777986693.7747333
0.049999999999999996,0.0,1777986693.8049524,1777986693.804611
0.05499999999999999,0.0,1777986693.8351083,1777986693.8348107
0.05999999999999999,0.0,1777986693.8653147,1777986693.8649979
0.06499999999999999,0.0,1777986693.8951178,1777986693.894798
0.06999999999999999,0.0,1777986693.9253812,1777986693.9251187
0.075,0.0,1777986693.9553735,1777986693.9550133
0.08,0.0,1777986693.9859092,1777986693.9855857
0.085,0.0,1777986694.0164356,1777986694.0161376
0.09000000000000001,0.0,1777986694.0468976,1777986694.0466013
0.09500000000000001,0.0,1777986694.0771723,1777986694.0769384
0.10000000000000002,0.0,1777986694.1068296,1777986694.1065462
0.10500000000000002,0.0,1777986694.1370502,1777986694.1366997
0.11000000000000003,0.0,1777986694.1666806,1777986694.1664872
0.11500000000000003,0.0,1777986694.1971178,1777986694.1969051
0.12000000000000004,0.0,1777986694.2275927,1777986694.2273505
0.12500000000000003,0.0,1777986694.2584784,1777986694.2581885
0.13000000000000003,0.0,1777986694.289172,1777986694.2889323
0.13500000000000004,0.0,1777986694.3186212,1777986694.3184047
0.14000000000000004,0.0,1777986694.3493228,1777986694.3491359
0.14500000000000005,0.0,1777986694.379616,1777986694.3794289
0.15000000000000005,0.0,1777986694.409128,1777986694.408958
0.15500000000000005,0.0,1777986694.4396656,1777986694.4394524
0.16000000000000006,0.0,1777986694.469877,1777986694.4696345
0.16500000000000006,0.0,1777986694.5003755,1777986694.5001485
0.17000000000000007,0.0,1777986694.529737,1777986694.5294755
0.17500000000000007,0.0,1777986694.5614345,1777986694.5611293
0.18000000000000008,0.0,1777986694.5909772,1777986694.5907369
0.18500000000000008,0.0,1777986694.622199,1777986694.6219485
0.19000000000000009,0.0,1777986694.6529496,1777986694.6525855
0.1950000000000001,0.0,1777986694.7536094,1777986694.7532945
0.2000000000000001,0.0,1777986694.8542056,1777986694.8539052
0.2050000000000001,0.0,1777986694.9549537,1777986694.9545786
0.2100000000000001,0.0,1777986695.0553503,1777986695.055067
0.2150000000000001,0.0,1777986695.1559935,1777986695.1556163
0.22,0.0,1777986695.2564292,1777986695.2562065
0.22,0.0,1777986695.3570447,1777986695.3567407
0.22,0.0,1777986695.4575744,1777986695.4572244
0.22,0.0,1777986695.5582242,1777986695.557865
0.22,0.0,1777986695.658705,1777986695.6583693
0.22,0.0,1777986695.759175,1777986695.7588782
0.22,0.0,1777986695.85972,1777986695.859374
0.22,0.0,1777986695.9600735,1777986695.959854
0.22,0.0,1777986696.0604794,1777986696.0602937
0.22,0.0,1777986696.0663342,1777986696.0662007
0.22,0.0,1777986696.1667469,1777986696.166565
0.22,0.0,1777986696.26732,1777986696.2670233
0.22,0.0,1777986696.3679888,1777986696.367516
0.22,0.0,1777986696.468553,1777986696.4681878
