wheel_left_joint_position,wheel_left_joint_velocity,wheel_right_joint_position,wheel_right_joint_velocity,log_time,timestamp
483.693354939,0.10525183619542276,476.937702615,0.10525183619542276,1777986935.788317,1777986935.6711125
483.693354939,0.11000003933205837,476.937702615,0.10604320338486203,1777986935.7883291,1777986935.6768494
483.763918065,0.11000003933205837,477.003663798,0.10604320338486203,1777986935.7901762,1777986935.6894157
483.763918065,0.10920867214261912,477.003663798,0.1068345705743013,1777986935.7965333,1777986935.6947684
483.834481191,0.10920867214261912,477.074226924,0.1068345705743013,1777986935.8014693,1777986935.7107525
483.834481191,0.10841730495317985,477.074226924,0.10841730495317985,1777986935.8188472,1777986935.7162893
483.90504431700003,0.10841730495317985,477.143256069,0.10841730495317985,1777986935.8275535,1777986935.7352707
483.90504431700003,0.10841730495317985,477.143256069,0.10604320338486203,1777986935.839516,1777986935.7513509
483.975607443,0.10762593776374058,477.207683271,0.10604320338486203,1777986935.8697,1777986935.758833
484.043102607,0.10762593776374058,477.275178435,0.10604320338486203,1777986935.8729947,1777986935.773794
484.043102607,0.10762593776374058,477.275178435,0.10762593776374058,1777986935.8892198,1777986935.7791893
484.112131752,0.10762593776374058,477.345741561,0.10762593776374058,1777986935.8930416,1777986935.7981896
484.112131752,0.11158277371093692,477.345741561,0.11000003933205837,1777986935.9013646,1777986935.802827
484.18576284,0.11158277371093692,477.416304687,0.11000003933205837,1777986935.9049413,1777986935.815411
484.18576284,0.11474824246869399,477.416304687,0.11158277371093692,1777986935.9202425,1777986935.8206596
484.259393928,0.11474824246869399,477.489935775,0.11158277371093692,1777986935.9312778,1777986935.8367395
484.259393928,0.11633097684757253,477.489935775,0.11316550808981546,1777986935.9423962,1777986935.842393
484.334558997,0.11633097684757253,477.560498901,0.11316550808981546,1777986935.9515395,1777986935.8601627
484.334558997,0.11949644560532961,477.560498901,0.1171223440370118,1777986935.9663846,1777986935.8667653
484.414326009,0.11949644560532961,477.637197951,0.1171223440370118,1777986935.9825978,1777986935.8784418
484.414326009,0.12345328155252595,477.637197951,0.12107917998420814,1777986935.9850667,1777986935.8837907
484.49255904,0.12345328155252595,477.716964963,0.12107917998420814,1777986935.9918516,1777986935.8998544
484.49255904,0.12187054717364741,477.716964963,0.12187054717364741,1777986936.0051029,1777986935.9065297
484.572326052,0.12187054717364741,477.793664013,0.12187054717364741,1777986936.0091708,1777986935.9210536
484.572326052,0.12424464874196522,477.793664013,0.12582738312084377,1777986936.038155,1777986935.9256358
484.650559083,0.12424464874196522,477.876498987,0.12582738312084377,1777986936.038163,1777986935.9414766
484.650559083,0.12582738312084377,477.876498987,0.12661875031028302,1777986936.047983,1777986935.947191
484.73186007600003,0.12582738312084377,477.956265999,0.12661875031028302,1777986936.0555158,1777986935.9651299
484.73186007600003,0.1274101174997223,477.956265999,0.12503601593140448,1777986936.0897753,1777986935.9705875
484.813161069,0.1274101174997223,478.039100973,0.12503601593140448,1777986936.0897856,1777986935.9844024
484.813161069,0.1274101174997223,478.039100973,0.12899285187860082,1777986936.1036475,1777986935.9901283
484.897530024,0.1274101174997223,478.121935947,0.12899285187860082,1777986936.1047695,1777986936.004698
484.897530024,0.1274101174997223,478.121935947,0.1297842190680401,1777986936.1103475,1777986936.010276
484.977297036,0.1274101174997223,478.206304902,0.1297842190680401,1777986936.1188028,1777986936.0258691
484.977297036,0.13057558625747936,478.206304902,0.1297842190680401,1777986936.135888,1777986936.03044
485.061665991,0.13057558625747936,478.289139876,0.1297842190680401,1777986936.139416,1777986936.0463824
485.061665991,0.13057558625747936,478.289139876,0.1345324222046757,1777986936.1513114,1777986936.0521991
485.142966984,0.13057558625747936,478.378110774,0.1345324222046757,1777986936.1595218,1777986936.0708473
485.142966984,0.13374105501523645,478.378110774,0.135323789394115,1777986936.1937916,1777986936.0755265
485.230403901,0.13374105501523645,478.465547691,0.135323789394115,1777986936.1938026,1777986936.0892797
485.230403901,0.1345324222046757,478.465547691,0.135323789394115,1777986936.2073035,1777986936.108421
485.314772856,0.1345324222046757,478.55298460800003,0.135323789394115,1777986936.2073112,1777986936.1129136
485.314772856,0.13374105501523645,478.55298460800003,0.135323789394115,1777986936.2151918,1777986936.1173458
485.402209773,0.13374105501523645,478.638887544,0.135323789394115,1777986936.223421,1777986936.131177
485.402209773,0.13848925815187207,478.638887544,0.13690652377299353,1777986936.2383106,1777986936.1355593
485.48964669000003,0.13848925815187207,478.727858442,0.13690652377299353,1777986936.240508,1777986936.151644
485.48964669000003,0.13690652377299353,478.727858442,0.13690652377299353,1777986936.2604623,1777986936.1703093
485.577083607,0.13690652377299353,478.815295359,0.13690652377299353,1777986936.2641513,1777986936.1760814
485.577083607,0.13848925815187207,478.815295359,0.13848925815187207,1777986936.2791102,1777986936.1804764
485.666054505,0.13848925815187207,478.905800238,0.13848925815187207,1777986936.2831862,1777986936.1944232
485.666054505,0.13928062534131133,478.905800238,0.13848925815187207,1777986936.304133,1777986936.2005577
485.756559384,0.13928062534131133,478.994771136,0.13848925815187207,1777986936.3049335,1777986936.215303
485.756559384,0.13690652377299353,478.994771136,0.13848925815187207,1777986936.3254752,1777986936.2197955
485.84246232,0.13690652377299353,479.083742034,0.13848925815187207,1777986936.3305845,1777986936.2355664
485.84246232,0.14086335972018987,479.083742034,0.1400719925307506,1777986936.3415198,1777986936.2413466
485.932967199,0.14086335972018987,479.175780894,0.1400719925307506,1777986936.3489096,1777986936.2590811
485.932967199,0.14086335972018987,479.175780894,0.13928062534131133,1777986936.5219452,1777986936.2643826
486.02193809700003,0.14086335972018987,479.264751792,0.13928062534131133,1777986936.5219562,1777986936.2784765
486.02193809700003,0.14086335972018987,479.264751792,0.14402882847794693,1777986936.6411266,1777986936.2826645
486.112442976,0.14086335972018987,479.361392595,0.14402882847794693,1777986936.6521423,1777986936.300594
486.112442976,0.14482019566738621,479.361392595,0.14165472690962913,1777986936.659096,1777986936.3072283
486.207549798,0.14482019566738621,479.451897474,0.14165472690962913,1777986936.6591067,1777986936.3197641
486.207549798,0.14402882847794693,479.451897474,0.14482019566738621,1777986936.6591167,1777986936.3254764
486.298054677,0.14402882847794693,479.548538277,0.14482019566738621,1777986936.6591258,1777986936.341182
486.298054677,0.14561156285682547,479.548538277,0.1495683988040218,1777986936.6689816,1777986936.3456492
486.39316149900003,0.14561156285682547,479.646713061,0.1495683988040218,1777986936.6689918,1777986936.3646617
486.39316149900003,0.14561156285682547,479.646713061,0.14877703161458256,1777986936.6721056,1777986936.370241
486.48673434,0.14561156285682547,479.741819883,0.14877703161458256,1777986936.6721165,1777986936.382863
486.48673434,0.14561156285682547,479.741819883,0.147194297235704,1777986936.6898649,1777986936.3874805
486.583375143,0.14561156285682547,479.839994667,0.147194297235704,1777986936.6898768,1777986936.4042177
486.583375143,0.14877703161458256,479.839994667,0.147194297235704,1777986936.6991827,1777986936.4085298
486.676947984,0.14877703161458256,479.93510148900003,0.147194297235704,1777986936.6991944,1777986936.4244754
486.676947984,0.1495683988040218,479.93510148900003,0.147194297235704,1777986936.7010632,1777986936.4309835
486.775122768,0.1495683988040218,480.027140349,0.147194297235704,1777986936.7143755,1777986936.4469619
486.775122768,0.14877703161458256,480.027140349,0.1479856644251433,1777986936.7143872,1777986936.451401
486.87176357100003,0.14877703161458256,480.128383095,0.1479856644251433,1777986936.7183337,1777986936.4705343
486.87176357100003,0.1503597659934611,480.128383095,0.15115113318290035,1777986936.7183456,1777986936.4748516
486.97147233600003,0.1503597659934611,480.226557879,0.15115113318290035,1777986936.7183712,1777986936.4887865
486.97147233600003,0.1495683988040218,480.226557879,0.15431660194065744,1777986936.7183895,1777986936.4942663
487.065045177,0.1495683988040218,480.324732663,0.15431660194065744,1777986936.719462,1777986936.5102346
487.065045177,0.1527338675617789,480.324732663,0.1551079691300967,1777986936.7194843,1777986936.5164015
487.169355885,0.1527338675617789,480.429043371,0.1551079691300967,1777986936.72092,1777986936.5302918
487.169355885,0.15589933631953598,480.429043371,0.15748207069841452,1777986936.7209353,1777986936.5358965
487.26599668800003,0.15589933631953598,480.530286117,0.15748207069841452,1777986936.7234886,1777986936.5518181
487.26599668800003,0.15589933631953598,480.530286117,0.15748207069841452,1777986936.729094,1777986936.57077
487.367239434,0.15589933631953598,480.629994882,0.15748207069841452,1777986936.744105,1777986936.5758653
487.367239434,0.16143890664561086,480.629994882,0.15748207069841452,1777986936.7620826,1777986936.5814292
487.470016161,0.16143890664561086,480.73430559,0.15748207069841452,1777986936.7632003,1777986936.5937192
487.470016161,0.15827343788785378,480.73430559,0.15906480507729306,1777986936.7671049,1777986936.5992317
487.571258907,0.15827343788785378,480.835548336,0.15906480507729306,1777986936.7750049,1777986936.615154
487.571258907,0.16064753945617158,480.835548336,0.16064753945617158,1777986936.7750173,1777986936.6216156
487.67556961500003,0.16064753945617158,480.939859044,0.16064753945617158,1777986936.7750275,1777986936.635727
487.67556961500003,0.16064753945617158,480.939859044,0.16223027383505012,1777986936.7827744,1777986936.6410477
487.776812361,0.16064753945617158,481.044169752,0.16223027383505012,1777986936.7827864,1777986936.659825
487.776812361,0.16143890664561086,481.044169752,0.16223027383505012,1777986936.7827966,1777986936.6643362
487.88265705,0.16143890664561086,481.14848046000003,0.16223027383505012,1777986936.7828069,1777986936.6792781
487.88265705,0.16143890664561086,481.14848046000003,0.16143890664561086,1777986936.7910554,1777986936.6827197
